organisationid,organisationcode,organisationtype,subtype,sector,organisationstatus,ispimsmanaged,organisationname,parentodscode,parentname,phone,email,website,fax
40437,RDYEF,Hospital,Hospital,NHS Sector,Visible,TRUE,Weymouth Community Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01305 760022,,https://www.dorsethealthcare.nhs.uk/patients-and-visitors/our-services-hospitals/community-hospitals,",,,"
40438,RDYEG,Hospital,Hospital,NHS Sector,Visible,TRUE,Westhaven Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01305 786116,,http://www.dorsethealthcare.nhs.uk,",,,"
40439,RDYEH,Hospital,Hospital,NHS Sector,Visible,TRUE,Portland Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01305 820341,,http://www.dorsethealthcare.nhs.uk,"01305 823148,,,"
40440,RDYEJ,Hospital,Hospital,NHS Sector,Visible,TRUE,Bridport Community Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01308 422371,,http://www.dorsethealthcare.nhs.uk,"01308 426239,,,"
40441,RDYER,Hospital,Hospital,NHS Sector,Visible,TRUE,Blandford Community Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01258 456541,,http://www.dorsethealthcare.nhs.uk,"01258 450786,,,"
40442,RDYEY,Hospital,Hospital,NHS Sector,Visible,TRUE,Westminster Memorial Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01747 851535,,http://www.dorsethealthcare.nhs.uk,",,,"
40443,RDYFC,Hospital,Hospital,NHS Sector,Visible,TRUE,Yeatman Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01935 813991,,http://www.dorsethealthcare.nhs.uk,",,,"
40444,RDYFD,Hospital,Hospital,NHS Sector,Visible,TRUE,Wareham Community Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01929 552433,,http://www.dorsethealthcare.nhs.uk,"01929 550170,,,"
40445,RDYFE,Hospital,Hospital,NHS Sector,Visible,TRUE,Victoria Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01202 856410,,http://www.dorsethealthcare.nhs.uk,"01202 849516,,,"
40446,RDYFF,Hospital,Hospital,NHS Sector,Visible,TRUE,Swanage Community Hospital,RDY,Dorset Healthcare University NHS Foundation Trust,01929 422282,,http://www.dorsethealthcare.nhs.uk,"01929 423872,,,"
40447,RDYFG,Hospital,Hospital,NHS Sector,Visible,TRUE,St Leonards Community Hospital (Dorset),RDY,Dorset Healthcare University NHS Foundation Trust,01202 584200,,http://www.dorsethealthcare.nhs.uk,",,,"
40450,RDZ05,Hospital,Hospital,NHS Sector,Visible,TRUE,Christchurch Hospital,RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,01202 486361,webmaster@rbch.nhs.uk,http://www.rbch.nhs.uk,"01202 704077,,,"
40451,RDZ20,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Bournemouth Hospital,RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,01202 303626,communications@rbch.nhs.uk,http://www.rbch.nhs.uk/,",,,"
40457,RE906,Hospital,Hospital,NHS Sector,Visible,TRUE,Elmville Unit at Monkton Hall,RE9,South Tyneside NHS Foundation Trust,0191 2832583,,,",,,"
40466,RE9GA,Hospital,Hospital,NHS Sector,Visible,TRUE,South Tyneside District Hospital,RE9,South Tyneside NHS Foundation Trust,0191 404 1000,chris.morgan@stft.nhs.uk,http://www.stft.nhs.uk/,"0191 2022197,,,"
40467,RE9GC,Hospital,Hospital,NHS Sector,Visible,TRUE,Primrose Hill Hospital,RE9,South Tyneside NHS Foundation Trust,0191 451 6375,chris.morgan@sthct.nhs.uk,http://www.sthct.nhs.uk/,"0191 428 4839,,,"
40468,RE9GF,Hospital,Hospital,NHS Sector,Visible,TRUE,Palmer Community Hospital,RE9,South Tyneside NHS Foundation Trust,0191 402 8000,chris.morgan@stft.nhs.uk,http://www.stft.nhs.uk/,",,,"
40470,REF01,Hospital,Hospital,NHS Sector,Visible,TRUE,West Cornwall Hospital (Penzance),REF,Royal Cornwall Hospitals NHS Trust,01736 874000,rcht.patientexperience@nhs.net,http://www.royalcornwall.nhs.uk,"01736874081,,,"
40471,REF02,Hospital,Hospital,NHS Sector,Visible,TRUE,St Michael's Hospital,REF,Royal Cornwall Hospitals NHS Trust,01736 758854,rcht.patientexperience@nhs.net,http://www.royalcornwall.nhs.uk,"01736 753344,,,"
40472,REF12,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Cornwall Hospital (Treliske),REF,Royal Cornwall Hospitals NHS Trust,01872 250000,rcht.patientexperience@nhs.net,http://www.royalcornwall.nhs.uk,"01872 252708,,,"
40481,REM21,Hospital,Hospital,NHS Sector,Visible,TRUE,Aintree University Hospital,REM,Liverpool University Hospitals NHS Foundation Trust,0151 525 5980,,http://www.aintreehospital.nhs.uk,",,,"
40499,REMRQ,Hospital,Hospital,NHS Sector,Visible,FALSE,Royal Liverpool University Hospital,REM,Liverpool University Hospitals NHS Foundation Trust,,,,",,,"
40504,REP01,Hospital,Hospital,NHS Sector,Visible,TRUE,Liverpool Women's NHS Foundation Trust,REP,Liverpool Women's NHS Foundation Trust,0151 708 9988,,http://www.liverpoolwomens.nhs.uk/,"0151 702 4028,,,"
40560,RET20,Hospital,Hospital,NHS Sector,Visible,TRUE,The Walton Centre ,RET,The Walton Centre NHS Foundation Trust,0151 525 3611,enquiries@thewaltoncentre.nhs.uk,http://www.thewaltoncentre.nhs.uk,"0151 529 5500,,,"
40563,RF4DG,Hospital,Hospital,NHS Sector,Visible,TRUE,King George Hospital,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",0330 400 4333,,http://www.bhrhospitals.nhs.uk/,",,"
40568,RF4QH,Hospital,Hospital,NHS Sector,Visible,TRUE,Queen's Hospital,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",01708 435000,,http://www.bhrhospitals.nhs.uk,",,"
40570,RFFAA,Hospital,Hospital,NHS Sector,Visible,TRUE,Barnsley Hospital,RFF,Barnsley Hospital NHS Foundation Trust,01226 730000,,http://www.barnsleyhospital.nhs.uk,",,,"
40573,RFRPA,Hospital,Hospital,NHS Sector,Visible,TRUE,Rotherham Hospital,RFR,The Rotherham NHS Foundation Trust,01709 82 0000,communication@rothgen.nhs.uk,http://www.therotherhamft.nhs.uk,"01709 42 4200,,,"
40583,RFSDA,Hospital,Hospital,NHS Sector,Visible,TRUE,Chesterfield Royal Hospital,RFS,Chesterfield Royal Hospital NHS Foundation Trust,01246 277271,crhft.communications@nhs.net,http://www.chesterfieldroyal.nhs.uk,"01246 512737,,,"
40644,RGD05,Hospital,Hospital,NHS Sector,Visible,TRUE,The Mount,RGD,Leeds and York Partnership NHS Foundation Trust,0113 855 5000,pals.lypft@nhs.net,http://www.leedsandyorkpft.nhs.uk/,",,,"
40646,RGD17,Hospital,Hospital,NHS Sector,Visible,TRUE,St Mary's Hospital,RGD,Leeds and York Partnership NHS Foundation Trust,0113 855 5000,pals.lypft@nhs.net,http://www.leedsandyorkpft.nhs.uk/home,",,,"
40647,RGDAB,Hospital,Hospital,NHS Sector,Visible,TRUE,Newsam Centre,RGD,Leeds and York Partnership NHS Foundation Trust,0113 855 6300,pals.lypft@nhs.net,http://www.leedsandyorkpft.nhs.uk/,",,,"
40648,RGDBL,Hospital,Hospital,NHS Sector,Visible,TRUE,Becklin Centre,RGD,Leeds and York Partnership NHS Foundation Trust,0113 855 5000,pals.lypft@nhs.net,http://www.leedsandyorkpft.nhs.uk/home,",,,"
40650,RGM21,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Papworth Hospital,RGM,Royal Papworth Hospital NHS Foundation Trust,01223 638000,papworth.communications@nhs.net,https://royalpapworth.nhs.uk/our-hospital/getting-here,",,,"
40654,RGN49,Hospital,Hospital,NHS Sector,Visible,TRUE,Stamford and Rutland Hospital,RGN,North West Anglia NHS Foundation Trust,01733 678000,,http://www.peterboroughandstamford.nhs.uk,",,,"
40658,RGN80,Hospital,Hospital,NHS Sector,Visible,TRUE,Peterborough City Hospital,RGN,North West Anglia NHS Foundation Trust,01733 678000,,https://www.nwangliaft.nhs.uk/,",,"
40663,RGP75,Hospital,Hospital,NHS Sector,Visible,TRUE,James Paget University Hospital,RGP,James Paget University Hospitals NHS Foundation Trust,01493 452452,pals@jpaget.nhs.uk,http://www.jpaget.nhs.uk/,"01493 453086,,,"
40715,RGR50,Hospital,Hospital,NHS Sector,Visible,TRUE,West Suffolk Hospital,RGR,West Suffolk NHS Foundation Trust,01284 713000,,http://www.wsh.nhs.uk,"01284 701993,,,"
40719,RGT01,Hospital,Hospital,NHS Sector,Visible,TRUE,Addenbrooke's,RGT,Cambridge University Hospitals NHS Foundation Trust,01223 245151,contactcentre@addenbrookes.nhs.uk,https://www.cuh.nhs.uk/addenbrookes-hospital,",,,"
40720,RGT32,Hospital,Hospital,NHS Sector,Visible,TRUE,Rosie Hospital,RGT,Cambridge University Hospitals NHS Foundation Trust,01223 245 151,contactcentre@addenbrookes.nhs.uk,https://www.cuh.nhs.uk/rosie-hospital,"01223 216 090,,,"
40722,RGT49,Hospital,Hospital,NHS Sector,Visible,FALSE,Royston Hospital,RGT,Cambridge University Hospitals NHS Foundation Trust,,,,",,,"
40723,RGT50,Hospital,Hospital,NHS Sector,Visible,FALSE,Saffron Walden Community Hospital,RGT,Cambridge University Hospitals NHS Foundation Trust,,,,",,,"
40768,RH5F1,Hospital,Hospital,NHS Sector,Visible,TRUE,Wellington Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01823 662663,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/wellington_hospital,",,,"
40769,RH5F2,Hospital,Hospital,NHS Sector,Visible,TRUE,Chard  Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01460 238220,,http://www.sompar.nhs.uk/what-we-do/community-hospitals/,",,,"
40771,RH5F5,Hospital,Hospital,NHS Sector,Visible,TRUE,Minehead Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01643 701701,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/minehead_hospital,",,,"
40772,RH5F6,Hospital,Hospital,NHS Sector,Visible,TRUE,Williton Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01984 635600,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/williton_hospital,",,,"
40773,RH5F7,Hospital,Hospital,NHS Sector,Visible,TRUE,Shepton Mallet Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01749 342931,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/shepton_mallet_hospital,",,,"
40774,RH5F8,Hospital,Hospital,NHS Sector,Visible,TRUE,West Mendip Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01458 836450,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/west_mendip_hospital,",,,"
40775,RH5F9,Hospital,Hospital,NHS Sector,Visible,TRUE,Crewkerne Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01460 72491,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/crewkerne_hospital,",,,"
40776,RH5G1,Hospital,Hospital,NHS Sector,Visible,TRUE,South Petherton Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01460 243000,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/south_petherton_hospital,",,,"
40777,RH5G2,Hospital,Hospital,NHS Sector,Visible,TRUE,Wincanton Community Hospital,RH5,Somerset Partnership NHS Foundation Trust,01963 828444,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/wincanton_hospital,",,,"
40778,RH5G3,Hospital,Hospital,NHS Sector,Visible,TRUE,Dene Barton Community Hospital ,RH5,Somerset Partnership NHS Foundation Trust,01823 431930,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/dene_barton_hospital,",,,"
40779,RH5G5,Hospital,Hospital,NHS Sector,Visible,TRUE,Frome Community Hospital ,RH5,Somerset Partnership NHS Foundation Trust,01373 454740,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/frome_hospital,",,,"
40782,RH801,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Devon and Exeter Hospital (Wonford),RH8,Royal Devon and Exeter NHS Foundation Trust,01392 411 611,rde-tr.pals@nhs.net,http://www.rdehospital.nhs.uk/,",,,"
40783,RH802,Hospital,Hospital,NHS Sector,Visible,TRUE,Heavitree Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust,01392 411 611,,www.rdehospital.nhs.uk,",,,"
40787,RH833,Hospital,Hospital,NHS Sector,Visible,TRUE,Okehampton Community Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust,01837 658000,,,",,,"
40788,RH834,Hospital,Hospital,NHS Sector,Visible,TRUE,Ottery St Mary Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust,01404 816 000,,,",,,"
40790,RH853,Hospital,Hospital,NHS Sector,Visible,TRUE,Tiverton and District Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust,01884 235400,,,",,,"
40791,RH854,Hospital,Hospital,NHS Sector,Visible,TRUE,Honiton Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust,01404 540540,,,",,,"
40793,RH857,Hospital,Hospital,NHS Sector,Visible,TRUE,Axminster Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust,01297 630400,,,",,,"
40794,RH858,Hospital,Hospital,NHS Sector,Visible,TRUE,Exmouth Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust,01395 279684,,,",,,"
40795,RH859,Hospital,Hospital,NHS Sector,Visible,TRUE,Victoria Hospital (Sidmouth),RH8,Royal Devon and Exeter NHS Foundation Trust,,,,",,,"
40804,RHA04,Hospital,Hospital,NHS Sector,Visible,TRUE,Rampton Hospital,RHA,Nottinghamshire Healthcare NHS Foundation Trust,01777 24 8321,,http://www.nottinghamshirehealthcare.nhs.uk/rampton-hospital,",,,"
40841,RHANN,Hospital,Hospital,NHS Sector,Visible,TRUE,Lings Bar Hospital,RHA,Nottinghamshire Healthcare NHS Foundation Trust,0115 955 5477,,,",,,"
40843,RHM01,Hospital,Hospital,NHS Sector,Visible,TRUE,Southampton General Hospital,RHM,University Hospital Southampton NHS Foundation Trust,023 8077 7222,patientsupportservices@uhs.nhs.uk,http://www.uhs.nhs.uk,"023 8120 4715,,,"
40847,RHM12,Hospital,Hospital,NHS Sector,Visible,TRUE,Princess Anne Hospital,RHM,University Hospital Southampton NHS Foundation Trust,023 8077 7222,patientsupportservices@uhs.nhs.uk,http://www.uhs.nhs.uk,",,,"
40857,RHQCC,Hospital,Hospital,NHS Sector,Visible,TRUE,Charles Clifford Dental Hospital,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,0114 271 7800,,http://www.sth.nhs.uk,",,,"
40860,RHQHH,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Hallamshire Hospital,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,0114 2434343,,http://www.sth.nhs.uk,",,,"
40861,RHQNG,Hospital,Hospital,NHS Sector,Visible,TRUE,Northern General Hospital,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,0114 243 4343,,http://www.sth.nhs.uk/,",,,"
40865,RHQWP,Hospital,Hospital,NHS Sector,Visible,TRUE,Weston Park Hospital,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,0114 226 5000,,http://www.sth.nhs.uk,",,,"
40867,RHU02,Hospital,Hospital,NHS Sector,Visible,TRUE,St Mary,RHU,Portsmouth Hospitals NHS Trust,02392 680000,,http://www.porthosp.nhs.uk,"023 9286 6413,,,"
40868,RHU03,Hospital,Hospital,NHS Sector,Visible,TRUE,Queen Alexandra Hospital,RHU,Portsmouth Hospitals NHS Trust,023 9228 6000,,http://www.porthosp.nhs.uk,"023 9286 6413,,,"
40870,RHU10,Hospital,Hospital,NHS Sector,Visible,TRUE,Gosport War Memorial Hospital - Portsmouth Hospitals NHS Trust,RHU,Portsmouth Hospitals NHS Trust,02392 524611,,https://www.southernhealth.nhs.uk/locations/gosport-war-memorial-hospital/,",,,"
40884,RHW01,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Berkshire Hospital,RHW,Royal Berkshire NHS Foundation Trust,0118 322 5111,nhs.choices@royalberkshire.nhs.uk,http://www.royalberkshire.nhs.uk,",,,"
40885,RHW03,Hospital,Hospital,NHS Sector,Visible,TRUE,Prince Charles Eye Unit,RHW,Royal Berkshire NHS Foundation Trust,01753 860 441,,http://www.royalberkshire.nhs.uk,",,,"
40918,RJ121,Hospital,Hospital,NHS Sector,Visible,TRUE,Guy's Hospital,RJ1,Guy's and St Thomas' NHS Foundation Trust,020 7188 7188,pals@gstt.nhs.uk,https://www.guysandstthomas.nhs.uk,",,,"
40919,RJ122,Hospital,Hospital,NHS Sector,Visible,TRUE,St Thomas',RJ1,Guy's and St Thomas' NHS Foundation Trust,020 7188 7188,pals@gstt.nhs.uk,https://www.guysandstthomas.nhs.uk,",,,"
40922,RJ224,Hospital,Hospital,NHS Sector,Visible,TRUE,University Hospital Lewisham,RJ2,Lewisham and Greenwich NHS Trust,020 8333 3000,,http://www.lewishamandgreenwich.nhs.uk,"020 8333 3333,,,"
40924,RJ611,Hospital,Hospital,NHS Sector,Visible,TRUE,Croydon University Hospital,RJ6,Croydon Health Services NHS Trust,020 8401 3000,,http://www.croydonhealthservices.nhs.uk/,",,,"
40925,RJ613,Hospital,Hospital,NHS Sector,Visible,TRUE,Purley War Memorial Hospital,RJ6,Croydon Health Services NHS Trust,020 8401 3515,,http://www.croydonhealthservices.nhs.uk,",,,"
40949,RJ701,Hospital,Hospital,NHS Sector,Visible,TRUE,St George's Hospital,RJ7,St George's University Hospitals NHS Foundation Trust,0208 672 1255,communications@stgeorges.nhs.uk,http://www.stgeorges.nhs.uk,",,,"
40952,RJ731,Hospital,Hospital,NHS Sector,Visible,TRUE,Queen Mary - St George's University Hospitals NHS Foundation Trust,RJ7,St George's University Hospitals NHS Foundation Trust,020 8487 6000,,https://www.stgeorges.nhs.uk,",,,"
40965,RJ801,Hospital,Hospital,NHS Sector,Visible,TRUE,St Austell Community Hospital - Cornwall Partnership NHS Foundation Trust,RJ8,Cornwall Partnership NHS Foundation Trust,01726 873000,,http://www.cornwallft.nhs.uk/hospitals/st-austell/,",,,"
40966,RJ807,Hospital,Hospital,NHS Sector,Visible,TRUE,Newquay Hospital - Cornwall Partnership NHS Foundation Trust,RJ8,Cornwall Partnership NHS Foundation Trust,01637 834800,,https://www.cornwallft.nhs.uk/newquay-community,",,,"
40968,RJ817,Hospital,Hospital,NHS Sector,Visible,TRUE,Camborne Redruth Community Hospital - Cornwall Partnership NHS Foundation Trust,RJ8,Cornwall Partnership NHS Foundation Trust,01209 318000,,http://www.cornwallft.nhs.uk/hospitals/camborne-redruth/,",,,"
40970,RJ866,Hospital,Hospital,NHS Sector,Visible,TRUE,Bodmin Hospital - Cornwall Partnership NHS Foundation Trust,RJ8,Cornwall Partnership NHS Foundation Trust,01208 251300,cpn-tr.enquiries@nhs.net,http://www.cornwallft.nhs.uk,"01208 251580,,,"
40971,RJ867,Hospital,Hospital,NHS Sector,Visible,TRUE,Stratton Hospital - Cornwall Partnership NHS Foundation Trust,RJ8,Cornwall Partnership NHS Foundation Trust,01288 320100,,http://www.cornwallft.nhs.uk/stratton-community,",,,"
40973,RJ870,Hospital,Hospital,NHS Sector,Visible,TRUE,Launceston Hospital - Cornwall Partnership NHS Foundation Trust,RJ8,Cornwall Partnership NHS Foundation Trust,01566 761000,,https://www.cornwallft.nhs.uk/launceston-community,",,,"
40975,RJC02,Hospital,Hospital,NHS Sector,Visible,TRUE,Warwick Hospital,RJC,South Warwickshire NHS Foundation Trust,01926 495321,,http://www.swft.nhs.uk,"01926 482603,,,"
40976,RJC03,Hospital,Hospital,NHS Sector,Visible,TRUE,Stratford Hospital,RJC,South Warwickshire NHS Foundation Trust,01789  205831,,http://www.swft.nhs.uk,"01789 262855,,,"
40977,RJC04,Hospital,Hospital,NHS Sector,Visible,TRUE,Ellen Badger Hospital,RJC,South Warwickshire NHS Foundation Trust,01608 661410,,http://www.swft.nhs.uk,",,,"
41013,RJE01,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Stoke University Hospital,RJE,University Hospitals of North Midlands,01782 715444,,http://www.uhnm.nhs.uk,",,,"
41017,RJF05,Hospital,Hospital,NHS Sector,Visible,TRUE,Sir Robert Peel Hospital,RJF,Burton Hospitals NHS Foundation Trust,01827 263 800,,http://www.burtonhospitals.nhs.uk,",,,"
41019,RJL30,Hospital,Hospital,NHS Sector,Visible,TRUE,"Diana, Princess Of Wales Hospital",RJL,Northern Lincolnshire and Goole NHS Foundation Trust,01472 874111,nlg-tr.pals@nhs.net,http://www.nlg.nhs.uk/hospitals/grimsby,",,"
41021,RJL32,Hospital,Hospital,NHS Sector,Visible,TRUE,Scunthorpe General Hospital,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,01724 282282,nlg-tr.pals@nhs.net,http://www.nlg.nhs.uk/hospitals/scunthorpe,",,,"
41028,RJN63,Hospital,Hospital,NHS Sector,Visible,TRUE,Congleton War Memorial Hospital,RJN,East Cheshire NHS Trust,01260 294800,,http://www.eastcheshire.nhs.uk,",,,"
41030,RJN68,Hospital,Hospital,NHS Sector,Visible,TRUE,Knutsford and District Community Hospital,RJN,East Cheshire NHS Trust,01565 757220,,http://www.eastcheshire.nhs.uk,",,,"
41031,RJN71,Hospital,Hospital,NHS Sector,Visible,TRUE,Macclesfield District General Hospital,RJN,East Cheshire NHS Trust,01625 421000,,http://www.eastcheshire.nhs.uk,",,,"
41035,RJR05,Hospital,Hospital,NHS Sector,Visible,TRUE,Countess Of Chester Hospital,RJR,Countess Of Chester Hospital NHS Foundation Trust,01244 365000,cochpals@nhs.net,http://www.coch.nhs.uk,"01244 365 292,,,"
41036,RJR60,Hospital,Hospital,NHS Sector,Visible,TRUE,Ellesmere Port Hospital,RJR,Countess Of Chester Hospital NHS Foundation Trust,01244 362986,cochpals@nhs.net,http://www.coch.nhs.uk/eph,",,,"
41042,RJZ01,Hospital,Hospital,NHS Sector,Visible,TRUE,King's College Hospital,RJZ,King's College Hospital NHS Foundation Trust,020 3299 9000,kch-tr.palsdh@nhs.net,http://www.kch.nhs.uk,",,,"
41053,RK5BC,Hospital,Hospital,NHS Sector,Visible,TRUE,King's Mill Hospital,RK5,Sherwood Forest Hospitals NHS Foundation Trust,01623 622515,sfh-tr.pet@nhs.net,http://www.sfh-tr.nhs.uk,"01623 621770,,,"
41054,RK5BL,Hospital,Hospital,NHS Sector,Visible,TRUE,Mansfield Community Hospital,RK5,Sherwood Forest Hospitals NHS Foundation Trust,01623 622515,,http://www.sfh-tr.nhs.uk,"01623 635537,,,"
41058,RK5HP,Hospital,Hospital,NHS Sector,Visible,TRUE,Newark Hospital,RK5,Sherwood Forest Hospitals NHS Foundation Trust,01636 681681,sfh-tr.pet@nhs.net,http://www.sfh-tr.nhs.uk,"01636 685971,,,"
41066,RK950,Hospital,Hospital,NHS Sector,Visible,TRUE,Derriford Hospital,RK9,University Hospitals Plymouth NHS Trust,01752 202082,,http://www.plymouthhospitals.nhs.uk,",,,"
41067,RK953,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Eye Infirmary,RK9,University Hospitals Plymouth NHS Trust,01752 202082,,https://www.plymouthhospitals.nhs.uk/,",,,"
41070,RKB01,Hospital,Hospital,NHS Sector,Visible,TRUE,University Hospital (Coventry),RKB,University Hospitals Coventry and Warwickshire NHS Trust,024 76964000,info@uhcw.nhs.uk,http://www.uhcw.nhs.uk,"024 76966056 ,,,"
41072,RKB03,Hospital,Hospital,NHS Sector,Visible,TRUE,Hospital Of St Cross,RKB,University Hospitals Coventry and Warwickshire NHS Trust,01788 572831,info@uhcw.nhs.uk,http://www.uhcw.nhs.uk/,"01788 545151,,,"
41077,RKEHC,Hospital,Hospital,NHS Sector,Visible,TRUE,Hornsey Central Neighbourhood Health Centre,RKE,Whittington Health NHS Trust,,,,",,,"
41078,RKEQ4,Hospital,Hospital,NHS Sector,Visible,TRUE,The Whittington Hospital,RKE,Whittington Health NHS Trust,020 7272 3070,,https://www.whittington.nhs.uk,",,,"
41083,RKL48,Hospital,Hospital,NHS Sector,Visible,TRUE,Cassel Hospital,RKL,West London NHS Trust,020 8483 2900,cassel.hospital@nhs.net,https://www.westlondon.nhs.uk/contact-us/sites-and-locations/cassel-hospital-services/,"020 8483 2996,,,"
41084,RKL51,Hospital,Hospital,NHS Sector,Visible,TRUE,Broadmoor Hospital,RKL,West London NHS Trust,01344 773 111,,http://www.wlmht.nhs.uk,",,,"
41089,RL131,Hospital,Hospital,NHS Sector,Visible,TRUE,The Robert Jones and Agnes Hunt Orthopaedic Hospital,RL1,Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,01691 404000,,http://www.rjah.nhs.uk,"01691 404239,,,"
41093,RL403,Hospital,Hospital,NHS Sector,Visible,TRUE,New Cross Hospital,RL4,The Royal Wolverhampton NHS Trust,01902 307999,your.comments@rwh-tr.nhs.uk,http://www.royalwolverhampton.nhs.uk/,"01902 695600,,,"
41116,RLNGL,Hospital,Hospital,NHS Sector,Visible,TRUE,Sunderland Royal Hospital,RLN,City Hospitals Sunderland NHS Foundation Trust,0191 565 6256,chscomms@chsft.nhs.uk,http://www.stsft.nhs.uk,"0191 514 0220,,,"
41117,RLNGM,Hospital,Hospital,NHS Sector,Visible,TRUE,Sunderland Eye Infirmary,RLN,City Hospitals Sunderland NHS Foundation Trust,0191 565 6256,corporate.affairs@chs.northy.nhs.uk,http://www.chsft.nhs.uk,",,,"
41122,RLQ01,Hospital,Hospital,NHS Sector,Visible,TRUE,"The County Hospital, Wye Valley NHS Trust",RLQ,Wye Valley NHS Trust,01432 355 444,pals@wvt.nhs.uk,http://www.wyevalley.nhs.uk,",,"
41123,RLQ03,Hospital,Hospital,NHS Sector,Visible,TRUE,Bromyard Community Hospital,RLQ,Wye Valley NHS Trust,01885 485700,,,",,"
41126,RLQ06,Hospital,Hospital,NHS Sector,Visible,TRUE,Leominster Community Hospital,RLQ,Wye Valley NHS Trust,01568 614211,pals@wvt.nhs.uk,http://www.wyevalley.nhs.uk,",,"
41127,RLQ08,Hospital,Hospital,NHS Sector,Visible,TRUE,Ross on Wye Community Hospital ,RLQ,Wye Valley NHS Trust,01989 562100,pals@wvt.nhs.uk,,",,"
41134,RLT01,Hospital,Hospital,NHS Sector,Visible,TRUE,George Eliot Hospital,RLT,George Eliot Hospital NHS Trust,024 76351351,enquiries@geh.nhs.uk,http://www.geh.nhs.uk,"024 76865175 ,,,"
41145,RLY88,Hospital,Hospital,NHS Sector,Visible,TRUE,Harplands Hospital,RLY,North Staffordshire Combined Healthcare NHS Trust,01782 441600,,,",,,"
41147,RM102,Hospital,Hospital,NHS Sector,Visible,TRUE,Norfolk and Norwich University Hospital,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,01603 286 286,communications@nnuh.nhs.uk,http://www.nnuh.nhs.uk,",,,"
41155,RM131,Hospital,Hospital,NHS Sector,Visible,TRUE,Cromer and District Hospital,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,01263 513571,communications@nnuh.nhs.uk,http://www.nnuh.nhs.uk,",,,"
41161,RM301,Hospital,Hospital,NHS Sector,Visible,TRUE,Salford Royal,RM3,Salford Royal NHS Foundation Trust,0161 789 7373,,http://www.srft.nhs.uk,",,,"
41197,RMC01,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Bolton Hospital,RMC,Bolton NHS Foundation Trust,01204 390390,,http://www.boltonft.nhs.uk,",,,"
41222,RMP01,Hospital,Hospital,NHS Sector,Visible,TRUE,Tameside & Glossop Integrated Care NHS Foundation Trust,RMP,Tameside Hospital NHS Foundation Trust,0161 922 6000,,http://www.tamesidehospital.nhs.uk,"0161 331 6026,,,"
